Dataset,MAE,MSE,RMSE,R2,Normalized_RMSE,MAE_percent_of_mean,MAE_improvement_vs_baseline_percent,RMSE_improvement_vs_baseline_percent
Training,17.936598554148418,520.5686596329554,22.81597378226394,0.2986109241763232,0.5213745714228116,40.98745235770614,8.839636671868389,16.251025330236008
Validation,25.210316775545934,1300.6835792487793,36.064991047396354,-0.24986849146230639,0.6481244767937895,45.30549681402457,-8.853559950125572,-4.905489277940756
