,PC1,PC2,PC1_abs,PC2_abs
ATP2B2,0.4143712293775261,0.2680411107747925,0.4143712293775261,0.2680411107747925
FAM155A,0.3630529967052643,0.035093786527638185,0.3630529967052643,0.035093786527638185
KCNIP3,0.32840516870253417,-0.028377163673226513,0.32840516870253417,0.028377163673226513
TAC1,0.0839690448373063,0.12445915713803621,0.0839690448373063,0.12445915713803621
ALX4,0.34409660159054967,0.2821699772999817,0.34409660159054967,0.2821699772999817
TTLL6,0.3051985208696006,0.3203280861166498,0.3051985208696006,0.3203280861166498
MUC12,0.28592283665465473,0.004128263724357952,0.28592283665465473,0.004128263724357952
IFI6,0.13029887665752155,-0.3641985326140524,0.13029887665752155,0.3641985326140524
HRK,0.2515143322269329,-0.18891159413651726,0.2515143322269329,0.18891159413651726
C15orf41,-0.15006241093572886,0.3651227707637845,0.15006241093572886,0.3651227707637845
PRSS53,0.06910607024135475,-0.3227943302292568,0.06910607024135475,0.3227943302292568
CPE,0.2460762662719236,0.03328992570293556,0.2460762662719236,0.03328992570293556
KIAA1671,-0.03566599130956839,0.26513527831096795,0.03566599130956839,0.26513527831096795
SLC7A3,0.09456028313172984,0.11963561543181343,0.09456028313172984,0.11963561543181343
UBXN10,0.2499272885371577,-0.33863603380856366,0.2499272885371577,0.33863603380856366
UNC93B1,0.07114982070799669,-0.18393626702873933,0.07114982070799669,0.18393626702873933
USP2,0.20606541557898705,-0.2971809455300828,0.20606541557898705,0.2971809455300828
