Dataset,MAE,MSE,RMSE,R2,Normalized_RMSE,MAE_percent_of_mean,MAE_improvement_vs_baseline_percent,RMSE_improvement_vs_baseline_percent
Training,17.899038019206543,521.1445181914065,22.82858992998487,0.2978350401605584,0.5216628667493132,40.90162166735465,9.030533067400885,16.204716132741595
Validation,24.93663755295757,1284.0262140935897,35.83331151447756,-0.23386189601479712,0.6439609605500314,44.81366748647448,-7.671862872363206,-4.231582143884063
